i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
0,11.0,0.133998,0.551850,0.323755,1.500144,0.124343,AUT,19562129.647118,0.002942,0.002586,0.002590,0.070207,0.001192,neutron,pi+,solid
1,11.0,0.217270,0.401135,0.324599,1.773087,0.076804,AUT,7958608.886588,0.004043,0.004004,0.004009,0.070207,0.001343,neutron,pi+,solid
2,11.0,0.092643,0.683318,0.323372,1.294186,0.303510,AUT,19073792.876076,0.003622,0.002924,0.002920,0.070207,0.001125,neutron,pi+,solid
3,11.0,0.154878,0.548790,0.322572,1.681252,0.310245,AUT,10466177.607927,0.003847,0.003588,0.003626,0.070207,0.001227,neutron,pi+,solid
4,11.0,0.085966,0.715643,0.323588,1.254490,0.491645,AUT,18901363.164168,0.002186,0.002237,0.002244,0.070207,0.001115,neutron,pi+,solid
5,11.0,0.158307,0.527143,0.324561,1.650076,0.480726,AUT,16320045.981655,0.002662,0.002865,0.002851,0.070207,0.001234,neutron,pi+,solid
6,11.0,0.103943,0.691153,0.326782,1.411257,0.668541,AUT,8328347.069864,0.003281,0.003955,0.004009,0.070207,0.001143,neutron,pi+,solid
7,11.0,0.152717,0.511413,0.373838,1.567191,0.114451,AUT,18878541.665543,0.002656,0.002498,0.002513,0.070207,0.001233,neutron,pi+,solid
8,11.0,0.252075,0.351021,0.374496,1.817900,0.097056,AUT,2433161.991103,0.008447,0.008029,0.008036,0.070207,0.001420,neutron,pi+,solid
9,11.0,0.106439,0.651476,0.373817,1.410664,0.295822,AUT,18768392.142235,0.005868,0.004042,0.004070,0.070207,0.001153,neutron,pi+,solid
10,11.0,0.182192,0.488861,0.372502,1.789458,0.291024,AUT,1170616.754393,0.013507,0.012643,0.012770,0.070207,0.001288,neutron,pi+,solid
11,11.0,0.101879,0.666505,0.373393,1.364232,0.499801,AUT,19812432.672841,0.002143,0.002144,0.002152,0.070207,0.001145,neutron,pi+,solid
12,11.0,0.200845,0.425816,0.373689,1.725008,0.491021,AUT,5902089.061548,0.004550,0.007168,0.007141,0.070207,0.001322,neutron,pi+,solid
13,11.0,0.107305,0.670076,0.375894,1.405941,0.692024,AUT,11829654.737002,0.002807,0.002961,0.002958,0.070207,0.001154,neutron,pi+,solid
14,11.0,0.111137,0.616988,0.423727,1.396493,0.251285,AUT,19027658.054568,0.004466,0.003341,0.003346,0.070207,0.001165,neutron,pi+,solid
15,11.0,0.188100,0.456577,0.424433,1.725783,0.127903,AUT,12851708.309415,0.003227,0.003124,0.003137,0.070207,0.001306,neutron,pi+,solid
16,11.0,0.094858,0.689165,0.423793,1.326266,0.576703,AUT,19295964.037413,0.002161,0.002214,0.002211,0.070207,0.001137,neutron,pi+,solid
17,11.0,0.179888,0.470784,0.423688,1.689638,0.572506,AUT,8007756.599419,0.003833,0.004766,0.004751,0.070207,0.001290,neutron,pi+,solid
