i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
0,11.0,0.090370,0.623394,0.321984,1.160397,0.163881,AUT,19821342.872253,0.002454,0.002292,0.002298,0.070207,0.001121,neutron,pi+,solid
1,11.0,0.107380,0.593182,0.322856,1.314333,0.152995,AUT,19382442.712782,0.002269,0.002224,0.002220,0.070207,0.001148,neutron,pi+,solid
2,11.0,0.118953,0.576223,0.323056,1.414576,0.147257,AUT,19286921.132267,0.002236,0.002226,0.002226,0.070207,0.001166,neutron,pi+,solid
3,11.0,0.128695,0.560547,0.323154,1.488830,0.142368,AUT,19660488.772876,0.002223,0.002223,0.002223,0.070207,0.001183,neutron,pi+,solid
4,11.0,0.137418,0.543863,0.323367,1.542493,0.138100,AUT,19077114.797436,0.002282,0.002286,0.002289,0.070207,0.001198,neutron,pi+,solid
5,11.0,0.145836,0.527000,0.323525,1.586207,0.133302,AUT,19369302.819195,0.002320,0.002307,0.002306,0.070207,0.001214,neutron,pi+,solid
6,11.0,0.154462,0.509317,0.323566,1.623632,0.128999,AUT,19342195.372070,0.002380,0.002356,0.002358,0.070207,0.001229,neutron,pi+,solid
7,11.0,0.163426,0.491072,0.323709,1.656323,0.124678,AUT,18840916.691339,0.002512,0.002448,0.002443,0.070207,0.001246,neutron,pi+,solid
8,11.0,0.173153,0.472527,0.323852,1.688555,0.120694,AUT,18997325.325228,0.002593,0.002505,0.002509,0.070207,0.001264,neutron,pi+,solid
9,11.0,0.183975,0.451489,0.323997,1.714155,0.116118,AUT,18502631.694388,0.002760,0.002624,0.002623,0.070207,0.001284,neutron,pi+,solid
10,11.0,0.197231,0.427663,0.323925,1.740413,0.112314,AUT,19711910.245149,0.002808,0.002628,0.002626,0.070207,0.001308,neutron,pi+,solid
11,11.0,0.214839,0.398781,0.323996,1.767350,0.110467,AUT,18792973.931915,0.002865,0.002730,0.002719,0.070207,0.001341,neutron,pi+,solid
12,11.0,0.240488,0.362577,0.323975,1.797503,0.115579,AUT,18651885.840486,0.002722,0.002723,0.002725,0.070207,0.001387,neutron,pi+,solid
13,11.0,0.275492,0.326014,0.323936,1.852234,0.128594,AUT,9823584.029528,0.004187,0.004233,0.004245,0.070207,0.001449,neutron,pi+,solid
14,11.0,0.065264,0.793748,0.321593,1.067498,0.338228,AUT,19788658.309250,0.002122,0.002078,0.002078,0.070207,0.001084,neutron,pi+,solid
15,11.0,0.072440,0.742481,0.322319,1.109986,0.324276,AUT,18574629.149822,0.002140,0.002128,0.002127,0.070207,0.001095,neutron,pi+,solid
16,11.0,0.076803,0.717346,0.322612,1.137110,0.319363,AUT,18496989.237142,0.002134,0.002140,0.002140,0.070207,0.001101,neutron,pi+,solid
17,11.0,0.080598,0.698167,0.322810,1.161423,0.316536,AUT,20423930.817588,0.002037,0.002041,0.002035,0.070207,0.001107,neutron,pi+,solid
18,11.0,0.083962,0.682719,0.323011,1.183196,0.313720,AUT,19075595.022433,0.002119,0.002119,0.002121,0.070207,0.001112,neutron,pi+,solid
19,11.0,0.087107,0.675440,0.323078,1.214454,0.311971,AUT,20095238.556770,0.002073,0.002075,0.002075,0.070207,0.001117,neutron,pi+,solid
20,11.0,0.090195,0.669230,0.323151,1.245942,0.310527,AUT,19127343.686649,0.002141,0.002138,0.002137,0.070207,0.001121,neutron,pi+,solid
21,11.0,0.093152,0.662817,0.323238,1.274469,0.308472,AUT,18787742.008520,0.002173,0.002167,0.002165,0.070207,0.001126,neutron,pi+,solid
22,11.0,0.096048,0.658071,0.323288,1.304680,0.307755,AUT,18720964.190332,0.002197,0.002184,0.002182,0.070207,0.001130,neutron,pi+,solid
23,11.0,0.099000,0.652315,0.323366,1.333006,0.306118,AUT,19358744.434488,0.002171,0.002161,0.002159,0.070207,0.001135,neutron,pi+,solid
24,11.0,0.101996,0.647136,0.323454,1.362451,0.304720,AUT,19146381.065937,0.002198,0.002180,0.002187,0.070207,0.001139,neutron,pi+,solid
25,11.0,0.104941,0.642640,0.323468,1.392060,0.304010,AUT,18294132.903438,0.002267,0.002251,0.002246,0.070207,0.001144,neutron,pi+,solid
26,11.0,0.107945,0.637907,0.323476,1.421358,0.302666,AUT,19235738.534436,0.002239,0.002209,0.002212,0.070207,0.001149,neutron,pi+,solid
27,11.0,0.111003,0.632624,0.323689,1.449509,0.301597,AUT,18332756.958891,0.002315,0.002279,0.002278,0.070207,0.001154,neutron,pi+,solid
28,11.0,0.114093,0.627411,0.323627,1.477595,0.300641,AUT,19142960.840145,0.002296,0.002250,0.002251,0.070207,0.001159,neutron,pi+,solid
29,11.0,0.117338,0.623132,0.323720,1.509259,0.299851,AUT,19253105.152507,0.002314,0.002265,0.002262,0.070207,0.001164,neutron,pi+,solid
30,11.0,0.120696,0.617527,0.323717,1.538475,0.298960,AUT,19431858.992763,0.002341,0.002279,0.002276,0.070207,0.001170,neutron,pi+,solid
31,11.0,0.124141,0.613140,0.323738,1.571144,0.297897,AUT,19364836.659645,0.002379,0.002304,0.002306,0.070207,0.001176,neutron,pi+,solid
32,11.0,0.127633,0.606477,0.323898,1.597775,0.297188,AUT,18489687.768956,0.002484,0.002390,0.002395,0.070207,0.001182,neutron,pi+,solid
33,11.0,0.131178,0.596673,0.323941,1.615599,0.295905,AUT,18023645.794900,0.002586,0.002460,0.002467,0.070207,0.001188,neutron,pi+,solid
34,11.0,0.135067,0.585110,0.323910,1.631239,0.294780,AUT,19347947.696719,0.002593,0.002426,0.002431,0.070207,0.001195,neutron,pi+,solid
35,11.0,0.139452,0.573189,0.324093,1.649849,0.292975,AUT,19100882.274838,0.002736,0.002517,0.002510,0.070207,0.001203,neutron,pi+,solid
36,11.0,0.144340,0.558655,0.324103,1.664363,0.291404,AUT,19234480.514241,0.002899,0.002596,0.002597,0.070207,0.001212,neutron,pi+,solid
37,11.0,0.149924,0.542959,0.324164,1.680127,0.290047,AUT,19079979.910038,0.003157,0.002736,0.002744,0.070207,0.001222,neutron,pi+,solid
38,11.0,0.156386,0.523512,0.324123,1.689717,0.288846,AUT,18613022.171317,0.003589,0.002990,0.002987,0.070207,0.001233,neutron,pi+,solid
39,11.0,0.164229,0.502223,0.324337,1.702200,0.288838,AUT,18874773.766133,0.004186,0.003313,0.003315,0.070207,0.001248,neutron,pi+,solid
40,11.0,0.174229,0.477209,0.324138,1.715698,0.289786,AUT,18906206.352172,0.004933,0.003789,0.003795,0.070207,0.001266,neutron,pi+,solid
41,11.0,0.187390,0.447518,0.324152,1.730234,0.291496,AUT,19016207.848762,0.004997,0.003973,0.003975,0.070207,0.001290,neutron,pi+,solid
42,11.0,0.205738,0.413618,0.324170,1.755148,0.291930,AUT,18580637.101274,0.004216,0.003829,0.003828,0.070207,0.001324,neutron,pi+,solid
